Algorithm,Threads,Size,Time
basic,1,1,0
basic,1,2,0
basic,1,4,0.000001
basic,1,8,0.000001
basic,1,16,0.000001
basic,1,32,0.000001
basic,1,64,0.000001
basic,1,128,0.000002
basic,1,256,0.000002
basic,1,512,0.000005
basic,1,1024,0.000011
basic,1,2048,0.000024
basic,1,4096,0.00004
basic,1,8192,0.000073
basic,1,16384,0.000142
basic,1,32768,0.0003
basic,1,65536,0.00064
basic,1,131072,0.001353
basic,1,262144,0.002853
basic,1,524288,0.006098
basic,1,1048576,0.012846
basic,1,2097152,0.027924
basic,1,4194304,0.055772
basic,1,8388608,0.117185
basic,1,16777216,0.248576
basic,1,33554432,0.509844
basic,1,67108864,1.075691
basic,1,134217728,2.219194
basic,2,1,0.000002
basic,2,2,0.000001
basic,2,4,0.000001
basic,2,8,0
basic,2,16,0.000001
basic,2,32,0
basic,2,64,0.000002
basic,2,128,0.000001
basic,2,256,0.000002
basic,2,512,0.000005
basic,2,1024,0.000011
basic,2,2048,0.000023
basic,2,4096,0.000041
basic,2,8192,0.000075
basic,2,16384,0.000145
basic,2,32768,0.0003
basic,2,65536,0.000637
basic,2,131072,0.001414
basic,2,262144,0.002944
basic,2,524288,0.006087
basic,2,1048576,0.012956
basic,2,2097152,0.027622
basic,2,4194304,0.056718
basic,2,8388608,0.11938
basic,2,16777216,0.246039
basic,2,33554432,0.519034
basic,2,67108864,1.061607
basic,2,134217728,2.222367
basic,3,1,0.000002
basic,3,2,0.000001
basic,3,4,0.000001
basic,3,8,0
basic,3,16,0.000001
basic,3,32,0.000001
basic,3,64,0.000001
basic,3,128,0.000001
basic,3,256,0.000003
basic,3,512,0.000005
basic,3,1024,0.00001
basic,3,2048,0.000023
basic,3,4096,0.000041
basic,3,8192,0.000075
basic,3,16384,0.000145
basic,3,32768,0.000301
basic,3,65536,0.000693
basic,3,131072,0.001357
basic,3,262144,0.002925
basic,3,524288,0.006037
basic,3,1048576,0.012813
basic,3,2097152,0.0268
basic,3,4194304,0.057221
basic,3,8388608,0.11932
basic,3,16777216,0.24633
basic,3,33554432,0.52098
basic,3,67108864,1.060852
basic,3,134217728,2.222235
basic,4,1,0.000002
basic,4,2,0
basic,4,4,0.000001
basic,4,8,0.000001
basic,4,16,0.000001
basic,4,32,0.000001
basic,4,64,0.000001
basic,4,128,0.000001
basic,4,256,0.000002
basic,4,512,0.000005
basic,4,1024,0.000011
basic,4,2048,0.000023
basic,4,4096,0.000041
basic,4,8192,0.000082
basic,4,16384,0.000145
basic,4,32768,0.000302
basic,4,65536,0.000642
basic,4,131072,0.001369
basic,4,262144,0.002861
basic,4,524288,0.006053
basic,4,1048576,0.012817
basic,4,2097152,0.026814
basic,4,4194304,0.056396
basic,4,8388608,0.118746
basic,4,16777216,0.248392
basic,4,33554432,0.516834
basic,4,67108864,1.071521
basic,4,134217728,2.209404
basic,5,1,0.000001
basic,5,2,0.000001
basic,5,4,0.000001
basic,5,8,0
basic,5,16,0.000002
basic,5,32,0.000001
basic,5,64,0.000001
basic,5,128,0.000006
basic,5,256,0.000007
basic,5,512,0.000005
basic,5,1024,0.000017
basic,5,2048,0.000025
basic,5,4096,0.000052
basic,5,8192,0.000073
basic,5,16384,0.000174
basic,5,32768,0.000302
basic,5,65536,0.000637
basic,5,131072,0.001363
basic,5,262144,0.002858
basic,5,524288,0.006116
basic,5,1048576,0.012828
basic,5,2097152,0.027636
basic,5,4194304,0.056338
basic,5,8388608,0.120382
basic,5,16777216,0.247232
basic,5,33554432,0.511095
basic,5,67108864,1.068236
basic,5,134217728,2.212695
basic,6,1,0.000001
basic,6,2,0
basic,6,4,0.000001
basic,6,8,0.000001
basic,6,16,0.000001
basic,6,32,0.000001
basic,6,64,0.000001
basic,6,128,0.000001
basic,6,256,0.000003
basic,6,512,0.000005
basic,6,1024,0.000011
basic,6,2048,0.000022
basic,6,4096,0.000041
basic,6,8192,0.000067
basic,6,16384,0.000145
basic,6,32768,0.0003
basic,6,65536,0.000641
basic,6,131072,0.001356
basic,6,262144,0.002861
basic,6,524288,0.006008
basic,6,1048576,0.012662
basic,6,2097152,0.026763
basic,6,4194304,0.056634
basic,6,8388608,0.119259
basic,6,16777216,0.246182
basic,6,33554432,0.510681
basic,6,67108864,1.07724
basic,6,134217728,2.207212
basic,7,1,0.000002
basic,7,2,0
basic,7,4,0.000001
basic,7,8,0
basic,7,16,0.000001
basic,7,32,0.000001
basic,7,64,0.000001
basic,7,128,0.000001
basic,7,256,0.000003
basic,7,512,0.000005
basic,7,1024,0.00001
basic,7,2048,0.000023
basic,7,4096,0.000041
basic,7,8192,0.000077
basic,7,16384,0.000145
basic,7,32768,0.000303
basic,7,65536,0.00064
basic,7,131072,0.001413
basic,7,262144,0.002919
basic,7,524288,0.006042
basic,7,1048576,0.012816
basic,7,2097152,0.027109
basic,7,4194304,0.056461
basic,7,8388608,0.120216
basic,7,16777216,0.247496
basic,7,33554432,0.510116
basic,7,67108864,1.063887
basic,7,134217728,2.239844
basic,8,1,0.000001
basic,8,2,0
basic,8,4,0.000001
basic,8,8,0.000001
basic,8,16,0.000001
basic,8,32,0.000001
